time,result,table,controller,site,power_factor_avg,power_factor_l1,power_factor_l2,power_factor_l3,units,current_l1,current_l2,current_l3,volts_l1_n,volts_l2_n,volts_l3_n,apparent_power_l1,apparent_power_l2,apparent_power_l3,apparent_power_total,power_l1,power_l2,power_l3
2026-01-27 00:00:00+00:00,0.0,2.0,0.0,0.0,0.67,0.65,0.71,0.66,0.0,7.06,5.56,8.7,233.8,232.1,234.4,0.9988,1.2885,2.03374,4.32684,0.654813,0.913993,1.35394
2026-01-27 00:15:00+00:00,0.0,2.0,0.0,0.0,0.6785714285714286,0.6799999999999999,0.71,0.6614285714285714,0.0,6.0,5.562857142857142,8.684285714285714,233.92857142857142,231.84285714285716,234.1,1.1222167142857142,1.286172857142857,2.028567142857143,4.4401971428571425,0.7823447142857143,0.9131752857142857,1.3516442857142859
2026-01-27 00:30:00+00:00,0.0,2.1025641025641026,0.0,0.0,0.6942857142857143,0.7085714285714285,0.71,0.67,0.0,5.3100000000000005,5.542857142857143,8.635714285714286,232.97142857142856,230.68571428571428,233.2,1.2334314285714285,1.2753642857142857,2.0101842857142858,4.515965714285715,0.9026957142857144,0.9084287142857143,1.3436842857142857
2026-01-27 00:45:00+00:00,0.0,2.024390243902439,0.0,0.0,0.68,0.66,0.71,0.665,0.0,4.23,5.53625,8.635000000000002,232.875,230.575,232.95,0.984250125,1.27534125,2.0095725,4.26674875,0.645708125,0.907017875,1.3398112500000001
2026-01-27 01:00:00+00:00,0.0,2.0,0.0,0.0,0.6885714285714286,0.6842857142857143,0.72,0.67,0.0,4.732857142857143,5.521428571428571,8.581428571428571,232.09999999999997,229.71428571428572,232.1142857142857,1.0980662857142858,1.270247142857143,1.9920414285714287,4.35851,0.7721605714285715,0.9069858571428572,1.3317028571428569
2026-01-27 01:15:00+00:00,0.0,2.0,0.0,0.0,0.71,0.7385714285714285,0.7185714285714285,0.6742857142857144,0.0,5.844285714285713,5.538571428571429,8.585714285714285,232.21428571428572,230.07142857142858,232.42857142857142,1.3535208571428572,1.2697185714285715,1.9969557142857144,4.620918571428571,1.03417,0.9092941428571428,1.3378999999999999
2026-01-27 01:30:00+00:00,0.0,2.0,0.0,0.0,0.7299999999999999,0.8271428571428572,0.71,0.66,0.0,8.367142857142856,5.589999999999999,8.714285714285714,234.29999999999998,232.67142857142858,234.85714285714286,1.9510614285714285,1.2965957142857145,2.0442385714285716,5.289735714285714,1.6099242857142857,0.9169121428571428,1.3606342857142857
2026-01-27 01:45:00+00:00,0.0,1.9444444444444444,0.0,0.0,0.6871428571428572,0.6828571428571429,0.71,0.6685714285714287,0.0,4.874285714285714,5.572857142857144,8.657142857142857,233.8857142857143,231.5,233.9857142857143,1.1380808571428571,1.2873514285714285,2.0215799999999997,4.452647142857143,0.7980997142857144,0.915208,1.3526214285714284
2026-01-27 02:00:00+00:00,0.0,1.9444444444444444,0.0,0.0,0.68,0.66,0.71,0.67,0.0,4.26,5.57,8.65,233.9,231.4,233.9,0.996096,1.286,2.01705,4.30638,0.657873,0.915166,1.35178
2026-01-27 02:15:00+00:00,0.0,1.8918918918918919,0.0,0.0,0.68,0.67,0.72,0.67,0.0,4.204285714285715,5.535714285714286,8.564285714285715,232.22857142857143,229.64285714285714,231.92857142857142,0.9750035714285714,1.26903,1.9858571428571428,4.231027142857143,0.6511541428571429,0.908902142857143,1.3292314285714286
