result,table,controller,site,power_factor_avg,units,current_l1,current_l2,current_l3,volts_l1_n,volts_l2_n,volts_l3_n,apparent_power_total,power_l1,power_l2,power_l3,power_total
0.0,2.0555555555555554,0.0,0.0,0.89,0.0,0.44,0.35,0.48857142857142855,239.08571428571426,237.42857142857142,239.3857142857143,0.3049381428571429,0.10289085714285715,0.0776242,0.09111075714285714,0.2716537142857143
0.0,2.0,0.0,0.0,0.89,0.0,0.44,0.35,0.48875,239.525,237.9125,239.9,0.305559625,0.10320425,0.0779103125,0.0909509375,0.272038375
0.0,1.945945945945946,0.0,0.0,0.89,0.0,0.44,0.35,0.48999999999999994,239.74285714285716,238.24285714285716,240.20000000000002,0.30596914285714283,0.10306228571428573,0.0779354,0.09107104285714286,0.27239442857142854
0.0,1.975609756097561,0.0,0.0,0.89,0.0,0.44,0.35,0.48624999999999996,238.775,237.21249999999998,239.1375,0.30438037500000004,0.1027695,0.07767995,0.0907766125,0.271157
0.0,2.0,0.0,0.0,0.89,0.0,0.44,0.35,0.48,236.94285714285712,235.45714285714286,237.45714285714286,0.301103,0.101819,0.0771352,0.08959662857142857,0.26870514285714286
0.0,2.0,0.0,0.0,0.89,0.0,0.44,0.35,0.48,237.2,235.675,237.5875,0.30147625,0.102093875,0.0773762,0.08977476250000001,0.268751375
0.0,2.0,0.0,0.0,0.89,0.0,0.44,0.35,0.48,236.85714285714286,235.34285714285716,237.22857142857143,0.30037614285714287,0.10164085714285716,0.07712057142857143,0.08974832857142857,0.2684667142857143
0.0,2.0,0.0,0.0,0.89,0.0,0.44,0.35,0.48,236.975,235.425,237.33749999999998,0.30119225,0.10171775,0.0771541125,0.0895539,0.2679355
0.0,2.0,0.0,0.0,0.89,0.0,0.44,0.35,0.48,237.31428571428572,235.78571428571428,237.6,0.30100699999999997,0.10202057142857143,0.07724132857142858,0.08987502857142858,0.26914985714285716
0.0,2.0952380952380953,0.0,0.0,0.89,0.0,0.44,0.35,0.48,237.175,235.775,237.6625,0.302105375,0.102129,0.07732264999999999,0.0901936875,0.2695195
