time,result,table,controller,site,power_factor_avg,units,current_l1,current_l2,current_l3,volts_l1_n,volts_l2_n,volts_l3_n,power_total
2025-11-20 11:45:00+00:00,0.0,1.5,e0205,0.0,0.78,0.0,1.3842857142857141,0.04,0.33,236.24285714285716,234.4857142857143,237.24285714285716,0.3235045714285714
2025-11-20 12:00:00+00:00,0.0,1.5,e0205,0.0,0.78,0.0,1.3842857142857141,0.04,0.33,236.3857142857143,234.62857142857143,237.41428571428574,0.32351742857142857
2025-11-20 12:15:00+00:00,0.0,1.5172413793103448,e0205,0.0,0.78,0.0,1.3800000000000001,0.04,0.33,236.41428571428574,234.72857142857143,237.37142857142857,0.3228367142857143
2025-11-20 12:30:00+00:00,0.0,1.5,e0205,0.0,0.7799999999999999,0.0,1.39,0.04,0.33,236.75,235.1,237.79999999999998,0.32451749999999996
2025-11-20 12:45:00+00:00,0.0,1.5135135135135136,e0205,0.0,0.78,0.0,1.39,0.04,0.33,236.7555555555556,235.05555555555554,237.81111111111113,0.3243727777777778
2025-11-20 13:00:00+00:00,0.0,1.5,e0205,0.0,0.78,0.0,1.39,0.04,0.33,237.05714285714285,235.37142857142857,238.12857142857143,0.3249242857142857
2025-11-20 13:15:00+00:00,0.0,1.5294117647058822,e0205,0.0,0.78,0.0,1.39,0.04,0.33,237.5,235.7875,238.6,0.325988
2025-11-20 13:30:00+00:00,0.0,1.5,e0205,0.0,0.78,0.0,1.39,0.04,0.33,237.45714285714286,235.71428571428572,238.5142857142857,0.3259622857142857
2025-11-20 13:45:00+00:00,0.0,1.5,e0205,0.0,0.78,0.0,1.39,0.04,0.33,237.125,235.2875,238.0625,0.324995125
2025-11-20 14:00:00+00:00,0.0,1.5,e0205,0.0,0.78,0.0,1.39,0.04,0.33,237.0,235.3,238.2,0.325357
2025-11-20 14:15:00+00:00,0.0,1.5,e0205,0.0,0.78,0.0,1.39,0.04,0.33,237.725,235.925,238.7875,0.326312875
2025-11-20 14:30:00+00:00,0.0,1.5151515151515151,e0205,0.0,0.78,0.0,1.3975,0.04,0.33,237.8375,236.0375,238.8625,0.326528875
2025-11-20 14:45:00+00:00,0.0,1.5,e0205,0.0,0.7799999999999999,0.0,1.3999999999999997,0.04,0.33,237.73333333333332,235.9333333333333,238.65,0.32710849999999997
2025-11-20 15:00:00+00:00,0.0,1.5135135135135136,e0205,0.0,0.7733333333333333,0.0,1.4,0.04,0.33,238.06666666666666,236.22222222222223,239.0222222222222,0.32682211111111115
2025-11-20 15:15:00+00:00,0.0,1.5,e0205,0.0,0.7757142857142857,0.0,1.4,0.04,0.33,238.75714285714284,236.9,239.74285714285716,0.32807914285714285
2025-11-20 15:30:00+00:00,0.0,1.5151515151515151,e0205,0.0,0.77625,0.0,1.4,0.04,0.33,239.0625,237.225,239.9625,0.32839625
2025-11-20 15:45:00+00:00,0.0,1.4705882352941178,e0205,0.0,0.77,0.0,1.4037499999999998,0.04,0.33,239.1625,237.2,240.0875,0.32929437500000003
2025-11-20 16:00:00+00:00,0.0,1.5,e0205,0.0,0.77875,0.0,1.3937499999999998,0.04,0.33375,238.01250000000002,236.0625,238.8875,0.32691749999999997
